gender,party,race,age_at_year_end
Male,Unaffiliated,White,37
Female,Unaffiliated,Black or African American,31
Female,Democratic,White,58
Female,Unaffiliated,Other,25
Female,Unaffiliated,Other,22
Male,Democratic,Black or African American,57
Female,Unaffiliated,Other,20
Female,Democratic,White,30
Female,Democratic,White,33
Female,Democratic,White,91
Female,Democratic,Black or African American,49
Male,Democratic,Black or African American,60
Female,Democratic,Black or African American,29
Male,Unaffiliated,White,29
Female,Democratic,Black or African American,23
Male,Unaffiliated,White,42
Female,Democratic,Black or African American,57
Unspecified,Unaffiliated,Black or African American,39
Male,Democratic,Other,45
Female,Unaffiliated,Black or African American,23
Male,Democratic,Undesignated,27
Male,Unaffiliated,White,30
Male,Unaffiliated,White,65
Male,Unaffiliated,White,27
Female,Democratic,Undesignated,56
Female,Unaffiliated,Black or African American,35
Female,Democratic,White,38
Female,Democratic,White,28
Female,Unaffiliated,Other,39
Female,Unaffiliated,White,25
Male,Unaffiliated,White,40
Female,Unaffiliated,Two or more Races,40
Female,Democratic,Black or African American,45
Female,Democratic,White,68
Female,Republican,Black or African American,51
Male,Democratic,Black or African American,55
Female,Democratic,Undesignated,35
Female,Unaffiliated,Asian,73
Female,Unaffiliated,White,43
Unspecified,Democratic,White,27
Female,Unaffiliated,White,33
Female,Unaffiliated,White,31
Male,Democratic,Black or African American,56
Female,Unaffiliated,White,63
Male,Democratic,Black or African American,60
Male,Unaffiliated,White,66
Male,Democratic,Two or more Races,34
Female,Democratic,White,23
Male,Democratic,Other,74
Female,Unaffiliated,White,34
Female,Democratic,Black or African American,56
Male,Unaffiliated,White,33
Female,Democratic,White,34
Female,Democratic,Black or African American,41
Female,Democratic,Asian,24
Male,Unaffiliated,Black or African American,68
Female,Democratic,Other,75
Male,Democratic,White,28
Unspecified,Democratic,Asian,39
Female,Democratic,White,31
Female,Democratic,Black or African American,43
Female,Republican,Undesignated,40
Male,Unaffiliated,White,43
Female,Unaffiliated,White,30
Female,Democratic,White,75
Male,Democratic,White,45
Female,Democratic,White,23
Male,Unaffiliated,White,79
Male,Republican,White,31
Unspecified,Unaffiliated,Undesignated,19
Male,Unaffiliated,Black or African American,25
Female,Democratic,White,37
Male,Unaffiliated,White,38
Female,Democratic,Black or African American,29
Female,Democratic,Black or African American,51
Female,Democratic,Black or African American,73
Male,Democratic,Black or African American,24
Female,Democratic,Black or African American,86
Female,Democratic,White,32
Female,Unaffiliated,Black or African American,62
Female,Democratic,Black or African American,22
Male,Democratic,Two or more Races,59
Male,Unaffiliated,Black or African American,71
Male,Democratic,Black or African American,70
Male,Democratic,White,36
Female,Unaffiliated,Black or African American,18
Male,Democratic,White,45
Male,Unaffiliated,Black or African American,51
Male,Unaffiliated,Other,62
Female,Democratic,Black or African American,67
Female,Democratic,Black or African American,66
Female,Democratic,Black or African American,69
Female,Democratic,Black or African American,52
Unspecified,Unaffiliated,Undesignated,21
Male,Democratic,White,76
Unspecified,Unaffiliated,Undesignated,23
Male,Unaffiliated,White,81
Female,Democratic,White,53
Male,Democratic,White,75
Female,Unaffiliated,White,34
Male,Democratic,Black or African American,82
Female,Unaffiliated,White,75
Female,Democratic,White,70
Unspecified,Unaffiliated,Undesignated,49
Unspecified,Unaffiliated,Undesignated,22
Male,Democratic,White,88
Male,Democratic,White,56
Female,Democratic,White,52
Male,Democratic,Black or African American,26
Female,Democratic,White,75
Female,Democratic,Black or African American,81
Unspecified,Democratic,Undesignated,33
Male,Democratic,White,27
Female,Democratic,White,71
Male,Unaffiliated,Two or more Races,27
Male,Unaffiliated,White,63
Male,Unaffiliated,Two or more Races,24
Female,Democratic,White,26
Male,Democratic,Black or African American,54
Male,Democratic,White,76
Female,Unaffiliated,Other,65
Male,Unaffiliated,Undesignated,37
Female,Unaffiliated,White,35
Male,Democratic,White,23
Female,Democratic,Black or African American,55
Female,Unaffiliated,White,44
Female,Democratic,White,33
Female,Democratic,Asian,66
Female,Democratic,White,28
Female,Unaffiliated,White,22
Female,Unaffiliated,Other,58
Male,Democratic,White,45
Female,Libertarian,Other,18
Female,Unaffiliated,Other,23
Female,Unaffiliated,White,19
Unspecified,Democratic,Undesignated,25
Female,Democratic,White,66
Female,Democratic,Other,48
Male,Unaffiliated,Other,45
Female,Democratic,Undesignated,35
Male,Unaffiliated,Asian,30
Female,Democratic,Black or African American,39
Female,Democratic,Black or African American,39
Female,Democratic,Black or African American,41
Female,Democratic,White,73
Female,Unaffiliated,White,41
Male,Democratic,White,73
Male,Republican,White,71
Female,Democratic,Asian,27
Female,Democratic,White,72
Female,Democratic,White,94
Female,Democratic,White,72
Female,Unaffiliated,White,31
Female,Democratic,Other,65
Male,Unaffiliated,White,37
Female,Unaffiliated,White,41
Male,Unaffiliated,Other,27
Female,Unaffiliated,Other,26
Male,Democratic,Other,73
Unspecified,Unaffiliated,Undesignated,31
Female,Unaffiliated,Two or more Races,32
Male,Unaffiliated,Two or more Races,33
Female,Democratic,Other,53
Female,Unaffiliated,White,46
Male,Unaffiliated,Asian,51
Male,Unaffiliated,Undesignated,65
Male,Republican,Asian,38
Female,Democratic,Black or African American,50
Male,Democratic,Asian,27
Male,Unaffiliated,Undesignated,36
Male,Democratic,Other,23
Female,Democratic,White,21
Male,Democratic,Other,25
Male,Democratic,Other,57
Male,Unaffiliated,White,31
Male,Democratic,White,34
Unspecified,Unaffiliated,Undesignated,22
Female,Democratic,White,20
Female,Democratic,Undesignated,21
Male,Democratic,White,39
Female,Democratic,Undesignated,45
Female,Libertarian,White,40
Female,Unaffiliated,White,33
Unspecified,Unaffiliated,White,32
Male,Unaffiliated,White,68
Female,Democratic,White,70
Male,Democratic,Black or African American,49
Female,Democratic,Two or more Races,41
Female,Democratic,Asian,50
Female,Democratic,White,59
Male,Unaffiliated,White,20
Male,Unaffiliated,Undesignated,71
Female,Unaffiliated,Undesignated,41
Male,Unaffiliated,Other,65
Female,Democratic,Other,26
Male,Democratic,Undesignated,51
Unspecified,Democratic,Undesignated,29
Female,Democratic,Undesignated,62
Male,Unaffiliated,Black or African American,19
Male,Democratic,Undesignated,74
Male,Republican,White,62
Male,Republican,Undesignated,31
Female,Democratic,Undesignated,34
Male,Unaffiliated,Other,60
Male,Democratic,Other,20
Female,Unaffiliated,White,39
Unspecified,Democratic,Undesignated,44
Unspecified,Democratic,Undesignated,30
Female,Democratic,Black or African American,37
Male,Unaffiliated,Black or African American,38
Male,Democratic,Black or African American,30
Male,Democratic,Black or African American,38
Female,Unaffiliated,Asian,50
Male,Democratic,Asian,52
Female,Unaffiliated,Asian,19
Female,Democratic,Other,72
Male,Unaffiliated,Asian,42
Female,Democratic,White,39
Female,Unaffiliated,Other,46
Male,Unaffiliated,White,42
Male,Unaffiliated,Asian,76
Female,Republican,White,41
Male,Democratic,Black or African American,50
Female,Democratic,White,43
Male,Republican,White,51
Male,Unaffiliated,Other,40
Unspecified,Unaffiliated,Undesignated,50
Female,Democratic,White,35
Male,Republican,White,31
Male,Republican,White,76
Female,Unaffiliated,Black or African American,38
Female,Unaffiliated,White,38
Female,Unaffiliated,White,34
Unspecified,Democratic,Undesignated,26
Female,Unaffiliated,White,38
Male,Unaffiliated,White,41
